id,type1simline,type2simline,type3simline,type1simtok,type2simtok,type3simtok,fragment1,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces,fragment2,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces
26927547,,,,0.924107,0.955357,0.955357,761355,FacePanel.java,178,209,32,,214,1,0,761356,FacePanel.java,226,258,33,,224,1,0
28960363,,,,0.369369,0.594595,0.594595,544695,WavePanel.java,481,509,29,,96,1,0,1286660,WavePanel.java,332,362,31,,111,1,0
28960365,,,,0.40625,0.59375,0.59375,544694,WavePanel.java,467,478,12,,26,1,0,1286664,JLipSync.java,352,359,8,,32,1,1
24020801,,,,0.604167,0.697917,0.697917,544695,WavePanel.java,481,509,29,,96,1,0,544696,WavePanel.java,512,540,29,,78,1,0
26927549,,,,0.888889,0.944444,0.944444,761347,FacePanel.java,285,291,7,,70,1,0,761357,FacePanel.java,125,131,7,,72,1,0
26927540,,,,0.971429,1,1,623546,FacePanel.java,71,77,7,,70,1,0,761347,FacePanel.java,285,291,7,,70,1,0
26927548,,,,0.902778,0.944444,0.944444,623546,FacePanel.java,71,77,7,,70,1,0,761357,FacePanel.java,125,131,7,,72,1,0
24020793,,,,0.776786,0.892857,0.892857,544678,FacePanel.java,173,221,49,,331,1,0,544682,FacePanel.java,330,383,54,,336,1,1
27178833,,,,0.773371,0.892351,0.892351,544678,FacePanel.java,173,221,49,,331,1,0,544679,FacePanel.java,116,173,58,,353,1,0
24020789,,,,0.765903,0.842239,0.842239,544678,FacePanel.java,173,221,49,,331,1,0,544681,FacePanel.java,272,330,59,,393,1,0
27178831,,,,0.895184,0.937677,0.937677,544678,FacePanel.java,173,221,49,,331,1,0,544680,FacePanel.java,221,272,52,,353,1,0
28960366,,,,0.202247,0.280899,0.280899,1286661,Utilities.java,72,99,28,,89,1,0,1286665,About.java,203,208,6,,30,1,0
28960369,,,,0.841837,0.841837,0.841837,1286663,JLipSync.java,797,843,47,,165,1,0,1286670,JLipSync.java,794,844,51,,196,1,0
26927543,,,,0.987805,1,1,761348,FacePanel.java,71,80,10,,82,1,0,761350,FacePanel.java,337,346,10,,82,1,0
26927542,,,,0.904762,0.952381,0.952381,761348,FacePanel.java,71,80,10,,82,1,0,761349,FacePanel.java,125,134,10,,84,1,0
26927545,,,,0.974138,1,1,761351,FacePanel.java,66,80,15,,116,1,0,761352,FacePanel.java,332,346,15,,116,1,0
26927544,,,,0.904762,0.952381,0.952381,761349,FacePanel.java,125,134,10,,84,1,0,761350,FacePanel.java,337,346,10,,82,1,0
24020810,,,,0.74026,0.779221,0.779221,544710,JLipSync.java,648,678,31,,150,1,0,544711,JLipSync.java,684,716,33,,154,1,0
24020805,,,,0.965517,1,1,544701,Utilities.java,102,111,10,,58,1,0,544702,Utilities.java,114,123,10,,58,1,0
24020812,,,,0.76,0.8,0.8,544710,JLipSync.java,648,678,31,,150,1,0,544713,JLipSync.java,688,712,25,,131,1,0
24020817,,,,0.208333,0.25,0.25,544719,JLipSync.java,230,237,8,,24,1,0,544720,WavePanel.java,196,201,6,,10,1,1
28960362,,,,0.333333,0.486486,0.486486,1286660,WavePanel.java,332,362,31,,111,1,0,1286661,Utilities.java,72,99,28,,89,1,0
26927546,,,,0.900662,0.927152,0.927152,761353,FacePanel.java,97,116,20,,151,1,0,761354,FacePanel.java,363,383,21,,140,1,1
24020807,,,,0.436364,0.527273,0.527273,544705,SimpleXmlReader.java,38,44,7,,47,1,0,544706,SimpleXmlReader.java,105,111,7,,55,1,0
24020797,,,,0.438596,0.561404,0.561404,544687,Utilities.java,50,61,12,,57,1,0,544688,JLipSync.java,2039,2050,12,,47,1,0
24020792,,,,0.883853,0.94051,0.94051,544679,FacePanel.java,116,173,58,,353,1,0,544682,FacePanel.java,330,383,54,,336,1,1
24020788,,,,0.778626,0.867684,0.867684,544679,FacePanel.java,116,173,58,,353,1,0,544681,FacePanel.java,272,330,59,,393,1,0
24020786,,,,0.78187,0.926346,0.926346,544679,FacePanel.java,116,173,58,,353,1,0,544680,FacePanel.java,221,272,52,,353,1,0
24020800,,,,0.785714,0.821429,0.821429,544693,WavePanel.java,452,463,12,,28,1,0,544694,WavePanel.java,467,478,12,,26,1,0
24020799,,,,0.382716,0.530864,0.530864,544691,AviWriter.java,306,330,25,,69,1,0,544692,AviWriter.java,385,408,24,,81,1,0
24020804,,,,0.606061,0.727273,0.727273,544699,Utilities.java,79,85,7,,33,1,0,544700,Utilities.java,88,95,8,,25,1,0
24020811,,,,0.780347,0.82659,0.82659,544711,JLipSync.java,684,716,33,,154,1,0,544712,JLipSync.java,643,682,40,,173,1,0
26927551,,,,0.558282,0.582822,0.582822,761358,JLipSync.java,1628,1651,24,,163,2,2,761359,JLipSync.java,1677,1689,13,,95,2,2
24081489,,,,1,1,1,623547,FacePanel.java,234,240,7,,70,1,0,623548,FacePanel.java,186,192,7,,70,1,0
28960371,,,,0.788618,0.829268,0.829268,1286673,JLipSync.java,1944,1960,17,,109,2,0,1286674,JLipSync.java,1963,1979,17,,123,2,0
28960368,,,,0.852632,0.852632,0.852632,1286668,JLipSync.java,288,423,136,,665,1,0,1286669,JLipSync.java,290,403,114,,567,1,1
24020803,,,,0.608696,0.630435,0.630435,544689,JLipSync.java,609,619,11,,46,1,0,544698,JLipSync.java,595,602,8,,31,1,1
24020798,,,,0.893617,0.93617,0.93617,544689,JLipSync.java,609,619,11,,46,1,0,544690,JLipSync.java,949,958,10,,47,1,0
28960370,,,,0.879781,0.879781,0.879781,1286671,JLipSync.java,1400,1432,33,,183,2,0,1286672,JLipSync.java,1401,1427,27,,161,2,1
24020796,,,,0.69863,0.753425,0.753425,544685,Utilities.java,20,28,9,,58,1,0,544686,JLipSync.java,2026,2036,11,,73,1,0
27178830,,,,0.755725,0.834606,0.834606,544681,FacePanel.java,272,330,59,,393,1,0,544682,FacePanel.java,330,383,54,,336,1,1
24020795,,,,0.947368,1,1,544683,FacePanel.java,448,458,11,,38,1,0,544684,FacePanel.java,461,470,10,,38,1,0
28960361,,,,0.159145,0.204276,0.204276,1286658,WavePanel.java,78,169,92,,421,1,0,1286659,WavePanel.java,578,606,29,,96,1,0
24020809,,,,0.846154,0.884615,0.884615,544708,JLipSync.java,1067,1076,10,,23,2,0,544709,JLipSync.java,1187,1194,8,,26,2,0
24020814,,,,1,1,1,544716,JLipSync.java,1556,1561,6,,40,1,0,544717,JLipSync.java,1747,1753,7,,40,2,0
26927541,,,,0.971429,1,1,623545,FacePanel.java,337,343,7,,70,1,0,761347,FacePanel.java,285,291,7,,70,1,0
24081488,,,,1,1,1,623545,FacePanel.java,337,343,7,,70,1,0,623546,FacePanel.java,71,77,7,,70,1,0
24081486,,,,1,1,1,623542,FacePanel.java,338,343,6,,60,1,0,623543,FacePanel.java,72,77,6,,60,1,0
26927550,,,,0.902778,0.944444,0.944444,623545,FacePanel.java,337,343,7,,70,1,0,761357,FacePanel.java,125,131,7,,72,1,0
24081487,,,,1,1,1,623542,FacePanel.java,338,343,6,,60,1,0,623544,FacePanel.java,126,131,6,,60,1,0
24020791,,,,0.753541,0.889518,0.889518,544680,FacePanel.java,221,272,52,,353,1,0,544682,FacePanel.java,330,383,54,,336,1,1
27178829,,,,0.816794,0.898219,0.898219,544680,FacePanel.java,221,272,52,,353,1,0,544681,FacePanel.java,272,330,59,,393,1,0
24020802,,,,0.628205,0.769231,0.769231,544696,WavePanel.java,512,540,29,,78,1,0,544697,WavePanel.java,484,501,18,,78,1,0
28960367,,,,0.952663,0.952663,0.952663,1286666,JLipSync.java,179,226,48,,169,1,0,1286667,JLipSync.java,180,223,44,,161,1,1
24020815,,,,0.980769,1,1,544703,AviFilter.java,16,26,11,,52,1,0,544718,WavFilter.java,16,26,11,,52,1,0
24020806,,,,0.980769,1,1,544703,AviFilter.java,16,26,11,,52,1,0,544704,JlsFilter.java,16,26,11,,52,1,0
28960364,,,,0.345455,0.533333,0.533333,1286662,WavePanel.java,401,438,38,,139,1,0,1286663,JLipSync.java,797,843,47,,165,1,0
24020785,,,,0.769452,0.89049,0.89049,544677,FacePanel.java,64,116,53,,347,1,1,544678,FacePanel.java,173,221,49,,331,1,0
24020794,,,,0.916427,0.956772,0.956772,544677,FacePanel.java,64,116,53,,347,1,1,544682,FacePanel.java,330,383,54,,336,1,1
27178832,,,,0.92068,0.977337,0.977337,544677,FacePanel.java,64,116,53,,347,1,1,544679,FacePanel.java,116,173,58,,353,1,0
24020790,,,,0.765903,0.852417,0.852417,544677,FacePanel.java,64,116,53,,347,1,1,544681,FacePanel.java,272,330,59,,393,1,0
24020787,,,,0.764873,0.909348,0.909348,544677,FacePanel.java,64,116,53,,347,1,1,544680,FacePanel.java,221,272,52,,353,1,0
24020816,,,,0.980769,1,1,544704,JlsFilter.java,16,26,11,,52,1,0,544718,WavFilter.java,16,26,11,,52,1,0
24020813,,,,0.588235,0.764706,0.764706,544714,FacePanel.java,473,480,8,,34,1,0,544715,JLipSync.java,1711,1716,6,,31,2,0
24020808,,,,0.909091,0.927273,0.927273,544706,SimpleXmlReader.java,105,111,7,,55,1,0,544707,SimpleXmlReader.java,54,60,7,,54,1,0
