id,type1simline,type2simline,type3simline,type1simtok,type2simtok,type3simtok,fragment1,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces,fragment2,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces
28730215,,,,0.902857,0.902857,0.902857,1263959,src/org/zoz/cd/FileLogger.java,28,59,32,,175,1,0,1263960,src/org/zoz/cd/FileLogger.java,30,54,25,,158,1,0
28730217,,,,0.802817,0.802817,0.802817,423699,src/org/zoz/cd/source/musicbrainz/XPathUtil.java,143,158,16,,71,1,0,1263962,src/org/zoz/cd/source/musicbrainz/XPathUtil.java,145,153,9,,57,1,0
17933471,,,,0.413043,0.565217,0.565217,423663,src/org/zoz/cd/ImageUtil.java,134,144,11,,34,1,0,423664,src/org/zoz/cd/source/musicbrainz/XPathUtil.java,31,43,13,,46,1,0
17933552,,,,0.351852,0.462963,0.462963,423663,src/org/zoz/cd/ImageUtil.java,134,144,11,,34,1,0,423677,src/org/zoz/cd/source/musicbrainz/MusicBrainz.java,476,488,13,,54,1,0
17933487,,,,0.906977,0.953488,0.953488,423669,src/org/zoz/cd/source/musicbrainz/XPathUtil.java,80,85,6,,41,1,0,423671,src/org/zoz/cd/source/musicbrainz/XPathUtil.java,103,108,6,,43,1,0
24214429,,,,0.84,0.88,0.88,657086,src/org/zoz/cd/shared/FilterUtil.java,48,58,11,,72,1,0,657087,src/org/zoz/cd/shared/FilterUtil.java,75,85,11,,75,1,0
17933545,,,,0.6,0.76,0.76,423673,src/org/zoz/cd/source/musicbrainz/MusicBrainz.java,364,374,11,,25,1,0,423676,src/org/zoz/cd/APIUtil.java,39,50,12,,25,1,0
27232500,,,,0.873418,0.898734,0.898734,801739,src/org/zoz/cd/source/musicbrainz/ReleaseInfo.java,47,69,23,,78,2,1,801740,src/org/zoz/cd/source/discogs/ReleaseInfo.java,55,77,23,,79,2,1
17933564,,,,0.566038,0.584906,0.584906,423700,src/org/zoz/cd/source/discogs/DiscogsOAuthUIWorkflow.java,174,183,10,,31,1,0,423701,src/org/zoz/cd/source/discogs/DiscogsOAuthUIWorkflow.java,185,196,12,,53,1,0
17933573,,,,0.596154,0.596154,0.596154,423700,src/org/zoz/cd/source/discogs/DiscogsOAuthUIWorkflow.java,174,183,10,,31,1,0,423706,src/org/zoz/cd/source/discogs/DiscogsOAuthUIWorkflow.java,120,132,13,,52,1,0
