mCC_BT,28968603,1,1,1,1295181,fragments/1.java,1,160,160,94,941,1,0,1295182,mutantfragments/1.java,1,160,160,94,941,1,0,0,2
mCC_EOL,28968604,1,1,1,1295181,fragments/1.java,1,160,160,94,941,1,0,1295183,mutantfragments/2.java,1,160,160,94,941,1,0,0,2
mCF_A,28968605,1,1,1,1295181,fragments/1.java,1,160,160,94,941,1,0,1295184,mutantfragments/3.java,1,161,161,94,941,1,0,0,2
mCF_R,28968606,1,1,1,1295181,fragments/1.java,1,160,160,94,941,1,0,1295185,mutantfragments/4.java,1,159,159,94,941,1,0,0,2
mCW_A,28968607,1,1,1,1295181,fragments/1.java,1,160,160,94,941,1,0,1295186,mutantfragments/5.java,1,160,160,94,941,1,0,0,2
mCW_R,28968608,1,1,1,1295181,fragments/1.java,1,160,160,94,941,1,0,1295187,mutantfragments/6.java,1,160,160,94,941,1,0,0,2
mSRI,28968609,0.997875,1,1,1295181,fragments/1.java,1,160,160,94,941,1,0,1295188,mutantfragments/7.java,1,160,160,94,941,1,0,0,2
mARI,28968610,0.998937,1,1,1295181,fragments/1.java,1,160,160,94,941,1,0,1295189,mutantfragments/8.java,1,160,160,94,941,1,0,0,2
mRL_N,28968611,0.998937,1,1,1295181,fragments/1.java,1,160,160,94,941,1,0,1295190,mutantfragments/9.java,1,160,160,94,941,1,0,0,2
mRL_S,28968612,0.998937,1,1,1295181,fragments/1.java,1,160,160,94,941,1,0,1295191,mutantfragments/10.java,1,160,160,94,941,1,0,0,2
mDL,28968613,0.989373,0.989373,0.989373,1295181,fragments/1.java,1,160,160,94,941,1,0,1295192,mutantfragments/11.java,1,159,159,93,931,1,0,0,2
mIL,28968614,0.992616,0.992616,0.992616,1295181,fragments/1.java,1,160,160,94,941,1,0,1295193,mutantfragments/12.java,1,161,161,95,948,1,0,0,2
mML,28968615,0.993664,0.993664,0.993664,1295181,fragments/1.java,1,160,160,94,941,1,0,1295194,mutantfragments/13.java,1,160,160,94,947,1,0,0,2
mSDL,28968616,0.997875,0.997875,0.997875,1295181,fragments/1.java,1,160,160,94,941,1,0,1295195,mutantfragments/14.java,1,160,160,94,939,1,0,0,2
mSIL,28968617,0.997879,0.997879,0.997879,1295181,fragments/1.java,1,160,160,94,941,1,0,1295196,mutantfragments/15.java,1,160,160,94,943,1,0,0,2
mCC_BT,28968618,1,1,1,1295197,fragments/2.java,1,51,51,32,228,1,0,1295198,mutantfragments/16.java,1,51,51,32,228,1,0,0,2
mCC_EOL,28968619,1,1,1,1295197,fragments/2.java,1,51,51,32,228,1,0,1295199,mutantfragments/17.java,1,51,51,32,228,1,0,0,2
mCF_A,28968620,1,1,1,1295197,fragments/2.java,1,51,51,32,228,1,0,1295200,mutantfragments/18.java,1,52,52,32,228,1,0,0,2
mCF_R,28968621,1,1,1,1295197,fragments/2.java,1,51,51,32,228,1,0,1295201,mutantfragments/19.java,1,50,50,32,228,1,0,0,2
